id,titulo,titulos_alternativos
1,Cowboy Bebop,"['カウボーイビバップ', 'Cowboy Bebop']"
6,Trigun,"['トライガン', 'Trigun']"
7,Witch Hunter Robin,"['WHR', 'Witch Hunter ROBIN (ウイッチハンターロビン)', 'Witch Hunter Robin']"
8,Beet the Vandel Buster,"['Bouken Ou Beet', '冒険王ビィト', 'Beet the Vandel Buster', 'Adventure King Beet']"
15,Eyeshield 21,"['アイシールド21', 'Eyeshield21', 'Eyeshield 21']"
16,Honey and Clover,"['Hachimitsu to Clover', 'HachiKuro', 'Honey and Clover', 'Honey & Clover', 'ハチミツとクローバー']"
17,Hungry Heart: Wild Striker,"['Hungry Heart: Wild Striker', 'ハングリーハート Wild Striker']"
19,Monster,"['モンスター', 'Monster']"
20,Naruto,"['ナルト', 'NARUTO', 'Naruto']"
21,One Piece,"['One Piece', 'OP', 'ONE PIECE']"
22,The Prince of Tennis,"['Tennis no Oujisama', 'The Prince of Tennis', 'TeniPuri', 'テニスの王子様', 'PoT']"
23,Ring ni Kakero 1,"['Ring ni Kakero 1', 'Put it all in the Ring', 'リングにかけろ１']"
24,School Rumble,"['School Rumble', 'スクールランブル']"
25,Desert Punk,"['Desert Punk', 'Sunabouzu', '砂ぼうず', 'Sunabozu']"
26,Texhnolyze,"['Technolyze', 'Texhnolyze', 'TEXHNOLYZE']"
27,Trinity Blood,"['トリニティ・ブラッド', 'Trinity Blood']"
28,Yakitate!! Japan,"['Yakitate!! Japan', '焼きたて!! ジャぱん', 'Freshly Baked!! Ja-pan!']"
29,Zipang,"['Zipang', 'ジパング']"
30,Neon Genesis Evangelion,"['Shinseiki Evangelion', '新世紀エヴァンゲリオン', 'NGE', 'Neon Genesis Evangelion', 'Evangelion (1995)']"
33,Berserk,"['Berserk', 'Berserk: The Chronicles of Wind Blades', 'Kenpuu Denki Berserk', 'Sword-Wind Chronicle Berserk', '剣風伝奇ベルセルク']"
45,Rurouni Kenshin,"['るろうに剣心 -明治剣客浪漫譚-', 'Rurouni Kenshin', 'Kenshin le Vagabond', 'Wandering Kenshin: Romantic Tales from the Meiji Era', 'Samurai X', 'Rurouni Kenshin: Meiji Kenkaku Romantan', 'Kenshin, el Guerrero Samurai']"
48,.hack//Sign,"['.hack//Sign', '.hack//SIGN']"
50,Ah! My Goddess,"['Ah! My Goddess! (TV)', 'Ah! My Goddess', 'ああっ女神さまっ', 'Oh! My Goddess', 'Aa! Megami-sama! (TV)']"
